ST_FIPS,CONTROL,PREDDEG,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,LATITUDE,LONGITUDE
New York,Private Nonprofit,Certificate,0.3506,0.1777,0.0856,0.3554,0.0,0.0,0.0,0.0129,0.0178,40.63473,-73.967118
California,Public,Associate degree,0.1742,0.0264,0.3173,0.3519,0.0012,0.0129,0.0588,0.0475,0.0099,37.63042,-122.467335
California,Public,Bachelor's degree,0.2487,0.0184,0.1524,0.351,0.0009,0.0012,0.0576,0.1297,0.04,37.871918,-122.260463
California,Public,Certificate,0.2308,0.0706,0.2497,0.3484,0.0021,0.007,0.0511,0.027,0.0135,37.725953,-122.451155
Pennsylvania,Private Nonprofit,Bachelor's degree,0.4433,0.071,0.0473,0.3437,0.0008,0.0033,0.0359,0.0122,0.0424,39.946412,-75.207001
California,Public,Bachelor's degree,0.1142,0.0391,0.4103,0.3432,0.0016,0.0041,0.0394,0.0371,0.011,33.97246,-117.32741
California,Private For-profit,Certificate,0.101,0.0745,0.2149,0.3413,0.0085,0.0302,0.0246,0.0,0.2051,37.50904,-121.961761
Virginia,Private For-profit,Certificate,0.1972,0.0113,0.1268,0.3408,0.0,0.0,0.0,0.3239,0.0,38.928425,-77.249152
Virginia,Private For-profit,Certificate,0.2083,0.0694,0.1944,0.3403,0.0,0.0,0.0,0.1875,0.0,38.838042,-77.434496
California,Public,Bachelor's degree,0.194,0.0161,0.2012,0.3385,0.0009,0.0029,0.0465,0.1845,0.0156,32.877749,-117.235866
California,Public,Associate degree,0.1532,0.1775,0.2372,0.3355,0.001,0.006,0.0591,0.0012,0.0293,37.781017,-122.279303
Colorado,Private For-profit,Bachelor's degree,0.0,0.3333,0.0,0.3333,0.0,0.0,0.0,0.0,0.3333,39.656632,-105.083815
California,Private Nonprofit,Bachelor's degree,0.1369,0.0146,0.1112,0.3301,0.0035,0.0045,0.0418,0.3543,0.003,34.169031,-118.185102
Texas,Public,Bachelor's degree,0.3228,0.0543,0.1841,0.328,0.0015,0.002,0.0414,0.0427,0.0232,32.984673,-96.749702
Hawaii,Public,Associate degree,0.0824,0.0224,0.164,0.3276,0.0011,0.0524,0.333,0.0147,0.0024,21.39267,-157.983771
New York,Public,Bachelor's degree,0.2008,0.0864,0.2613,0.3245,0.0013,0.0013,0.0141,0.1103,0.0,40.740238,-73.983417
California,Private For-profit,Certificate,0.1772,0.0506,0.2405,0.3165,0.0127,0.1646,0.0127,0.0,0.0253,37.966315,-121.293267
Pennsylvania,Private Nonprofit,Bachelor's degree,0.2702,0.041,0.0924,0.3159,0.0003,0.0002,0.0407,0.1802,0.0591,40.44357,-79.941993
California,Private For-profit,Certificate,0.2224,0.1749,0.1749,0.3118,0.0095,0.0057,0.0684,0.0,0.0323,32.770776,-117.134199
California,Private For-profit,Bachelor's degree,0.1737,0.1617,0.2515,0.3114,0.0,0.006,0.0838,0.0,0.012,34.054877,-118.26069
Nevada,Private Nonprofit,Bachelor's degree,0.3887,0.0503,0.0823,0.3095,0.003,0.0046,0.1113,0.0122,0.0381,36.073182,-115.064633
California,Private For-profit,Certificate,0.0909,0.1818,0.3273,0.3091,0.0091,0.0364,0.0091,0.0,0.0364,33.875772,-118.080741
California,Private Nonprofit,Bachelor's degree,0.3045,0.0643,0.1903,0.3084,0.0013,0.0118,0.0643,0.0,0.0551,37.82029,-122.266331
California,Private For-profit,Certificate,0.019,0.0684,0.2395,0.3004,0.0,0.0,0.0076,0.3536,0.0114,34.061223,-118.29903
Hawaii,Private Nonprofit,Bachelor's degree,0.14,0.0487,0.0524,0.2973,0.0043,0.2246,0.0524,0.0093,0.1709,21.28995,-157.807851
California,Private For-profit,Certificate,0.1992,0.0794,0.2679,0.297,0.0089,0.029,0.0747,0.0006,0.0433,37.547377,-122.307618
New York,Private Nonprofit,Certificate,0.6944,0.0,0.0093,0.2963,0.0,0.0,0.0,0.0,0.0,40.58605,-73.952901
California,Private For-profit,Associate degree,0.1953,0.0473,0.3136,0.2929,0.0207,0.0385,0.0296,0.003,0.0592,33.776152,-117.860347
California,Public,Associate degree,0.2272,0.101,0.277,0.2917,0.0038,0.0131,0.0701,0.0076,0.0084,38.45295,-121.423108
Georgia,Private Nonprofit,Associate degree,0.3155,0.0786,0.0958,0.2913,0.001,0.0,0.0383,0.1744,0.005,33.6191,-83.871141
Washington,Public,Bachelor's degree,0.3612,0.0679,0.0999,0.2909,0.0048,0.0048,0.0641,0.0901,0.0162,47.759773,-122.191293
California,Private For-profit,Bachelor's degree,0.3194,0.0422,0.2376,0.2878,0.004,0.0291,0.0653,0.0,0.0146,34.187134,-118.39941
California,Public,Associate degree,0.1887,0.0519,0.4434,0.2877,0.0,0.0,0.0236,0.0,0.0047,34.062647,-118.211852
New York,Public,Bachelor's degree,0.2474,0.0864,0.298,0.2861,0.004,0.0038,0.0158,0.0585,0.0,40.735182,-73.816098
Arizona,Private For-profit,Certificate,0.5714,0.0,0.1429,0.2857,0.0,0.0,0.0,0.0,0.0,33.634726,-112.220934
California,Private For-profit,Certificate,0.0331,0.2119,0.3113,0.2848,0.0066,0.0066,0.0199,0.1192,0.0066,34.044739,-118.309491
New York,Public,Bachelor's degree,0.2209,0.0944,0.3192,0.2845,0.0013,0.0029,0.0212,0.0556,0.0,40.768669,-73.964795
California,Private For-profit,Certificate,0.0432,0.0432,0.5802,0.284,0.0062,0.0123,0.0123,0.0,0.0185,34.079755,-117.990894
California,Private For-profit,Certificate,0.0427,0.2308,0.3846,0.2821,0.0085,0.0,0.0,0.0513,0.0,34.110518,-117.285521
California,Private Nonprofit,Bachelor's degree,0.3022,0.0427,0.2389,0.2809,0.0055,0.0103,0.0625,0.0087,0.0483,37.981279,-122.512051
California,Public,Bachelor's degree,0.266,0.0342,0.2216,0.2795,0.0021,0.0026,0.055,0.1155,0.0236,34.068892,-118.443901
Hawaii,Public,Associate degree,0.1702,0.0063,0.1301,0.2794,0.0029,0.0682,0.3204,0.0205,0.0021,20.88956,-156.477252
Massachusetts,Private Nonprofit,Bachelor's degree,0.3167,0.0615,0.1523,0.2787,0.0013,0.0004,0.0725,0.1004,0.016,42.359243,-71.093226
California,Private For-profit,Certificate,0.1184,0.1513,0.3618,0.2763,0.0,0.0263,0.0461,0.0,0.0197,37.790775,-122.406318
New Jersey,Public,Bachelor's degree,0.3763,0.0694,0.1315,0.2759,0.0004,0.0023,0.0366,0.0901,0.0176,40.498769,-74.446251
California,Public,Bachelor's degree,0.2376,0.022,0.2239,0.2731,0.0018,0.004,0.0528,0.1712,0.0136,38.539667,-121.749567
Hawaii,Public,Associate degree,0.1356,0.0043,0.1356,0.2723,0.0011,0.0506,0.3735,0.0237,0.0032,21.968887,-159.395883
California,Private Nonprofit,Bachelor's degree,0.2728,0.0504,0.3213,0.2719,0.0019,0.0038,0.0523,0.0257,0.0,34.051241,-117.260605
Ohio,Private For-profit,Certificate,0.3111,0.4,0.0222,0.2667,0.0,0.0,0.0,0.0,0.0,41.113868,-81.57615
Nevada,Private For-profit,Bachelor's degree,0.3387,0.1129,0.2226,0.2645,0.0,0.0194,0.0419,0.0,0.0,36.185176,-115.313525
California,Private For-profit,Bachelor's degree,0.3064,0.0551,0.1251,0.2615,0.0126,0.0389,0.1071,0.0,0.0934,34.066591,-117.590035
Maryland,Private Nonprofit,Bachelor's degree,0.3061,0.071,0.1415,0.2612,0.0013,0.0023,0.0571,0.1056,0.0539,39.328977,-76.621595
California,Private For-profit,Certificate,0.1304,0.1739,0.4348,0.2609,0.0,0.0,0.0,0.0,0.0,34.171252,-118.131722
New York,Public,Bachelor's degree,0.3247,0.0711,0.1216,0.2596,0.001,0.0006,0.0264,0.1352,0.0597,40.91476,-73.12046
California,Public,Certificate,0.3359,0.0179,0.2437,0.2592,0.0009,0.0019,0.0538,0.0775,0.0093,33.675381,-117.777539
New York,Private Nonprofit,Associate degree,0.3428,0.1416,0.1926,0.2578,0.0,0.0,0.0,0.0,0.0652,40.809329,-73.516191
California,Private For-profit,Certificate,0.0758,0.1818,0.3636,0.2576,0.0,0.0152,0.0,0.0,0.1061,32.757282,-117.0814
California,Public,Bachelor's degree,0.1737,0.0556,0.3429,0.2569,0.0014,0.0045,0.0619,0.0657,0.0374,37.721224,-122.476799
Texas,Private Nonprofit,Bachelor's degree,0.3324,0.0714,0.1552,0.2569,0.0015,0.0015,0.0449,0.1179,0.0182,29.717897,-95.402035
California,Private Nonprofit,Bachelor's degree,0.2907,0.0435,0.0565,0.2565,0.0111,0.0019,0.0546,0.2222,0.063,33.956607,-118.416615
Washington,Private Nonprofit,Bachelor's degree,0.2727,0.2364,0.1091,0.2545,0.0,0.0,0.0727,0.0,0.0545,47.280168,-122.51687
Washington,Public,Bachelor's degree,0.3878,0.0298,0.0836,0.2536,0.0046,0.0043,0.0744,0.1513,0.0107,47.65538,-122.30514
Florida,Private For-profit,Certificate,0.2232,0.0558,0.2575,0.2532,0.0,0.0,0.0343,0.1288,0.0472,27.48718,-80.367303
California,Public,Associate degree,0.286,0.0202,0.3518,0.2516,0.0021,0.0057,0.0518,0.0261,0.0046,33.732531,-118.002568
California,Public,Associate degree,0.1591,0.2116,0.2163,0.2503,0.0017,0.0053,0.0569,0.062,0.0368,37.797257,-122.26283
New York,Public,Bachelor's degree,0.1327,0.15,0.3805,0.25,0.0011,0.0019,0.0184,0.0653,0.0,40.819846,-73.948542
Illinois,Private For-profit,Certificate,0.1364,0.2955,0.2273,0.25,0.0,0.0,0.0909,0.0,0.0,42.070355,-88.289545
California,Private For-profit,Certificate,0.25,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,36.823455,-119.754762
Indiana,Private For-profit,Certificate,0.5,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,40.414052,-86.815349
Hawaii,Private For-profit,Certificate,0.15,0.0333,0.0667,0.25,0.0167,0.1167,0.2833,0.0,0.0833,20.892857,-156.462848
California,Private For-profit,Associate degree,0.0714,0.25,0.2857,0.25,0.0,0.0357,0.0,0.0,0.1071,34.080319,-118.14879
California,Public,Certificate,0.3112,0.0324,0.2725,0.2498,0.0012,0.0064,0.0531,0.0651,0.0082,37.361655,-122.127964
California,Public,Certificate,0.237,0.1463,0.2559,0.249,0.0022,0.0032,0.0739,0.0043,0.0282,37.869769,-122.269877
Illinois,Private For-profit,Associate degree,0.3217,0.1478,0.2304,0.2478,0.0,0.0348,0.0,0.0,0.0174,42.075628,-88.2109
New York,Private Nonprofit,Certificate,0.1871,0.0288,0.0576,0.2446,0.0,0.0,0.0,0.0,0.482,40.757267,-73.980813
Hawaii,Private For-profit,Certificate,0.1511,0.1223,0.0719,0.2446,0.0072,0.295,0.0791,0.0,0.0288,21.28206,-157.800461
New York,Private For-profit,Certificate,0.1093,0.2753,0.3239,0.2429,0.0,0.004,0.0445,0.0,0.0,40.753658,-73.993385
Virginia,Private Nonprofit,Certificate,0.0583,0.5534,0.1456,0.2427,0.0,0.0,0.0,0.0,0.0,38.802702,-77.142637
California,Private Nonprofit,Bachelor's degree,0.2543,0.0422,0.2147,0.2393,0.0021,0.0062,0.0824,0.141,0.0179,37.776618,-122.450477
California,Public,Associate degree,0.142,0.0383,0.5017,0.2387,0.001,0.0008,0.0362,0.033,0.0083,34.144552,-118.118196
California,Public,Associate degree,0.1534,0.0964,0.4058,0.2386,0.0026,0.015,0.0681,0.0061,0.0141,37.642458,-122.105636
California,Private Nonprofit,Certificate,0.4264,0.0355,0.0305,0.2386,0.0102,0.0,0.0406,0.0,0.2183,33.131313,-117.318765
Nevada,Private For-profit,Bachelor's degree,0.22,0.192,0.27,0.238,0.016,0.012,0.05,0.0,0.002,36.1456,-115.171331
Texas,Public,Bachelor's degree,0.2416,0.073,0.3427,0.236,0.0,0.0028,0.0225,0.073,0.0084,29.707016,-95.396804
California,Private For-profit,Certificate,0.0588,0.3529,0.3529,0.2353,0.0,0.0,0.0,0.0,0.0,33.858729,-118.298733
California,Private For-profit,Certificate,0.0476,0.1026,0.1648,0.2344,0.0147,0.033,0.0147,0.0,0.3883,37.661039,-122.116059
California,Public,Associate degree,0.134,0.0574,0.452,0.2338,0.0039,0.0052,0.0406,0.0169,0.0563,37.315827,-121.926185
California,Public,Associate degree,0.156,0.0423,0.4784,0.2334,0.0012,0.0034,0.035,0.0153,0.035,33.82833,-118.025143
New Jersey,Public,Bachelor's degree,0.3436,0.0795,0.2184,0.2309,0.001,0.0003,0.0335,0.0528,0.0399,40.741997,-74.177113
Pennsylvania,Private Nonprofit,Bachelor's degree,0.2769,0.0462,0.0308,0.2308,0.0,0.0,0.0,0.4154,0.0,39.948857,-75.170727
California,Public,Bachelor's degree,0.1496,0.0999,0.3544,0.2274,0.0018,0.0097,0.0524,0.0559,0.0489,37.657694,-122.054135
California,Private For-profit,Certificate,0.3208,0.0,0.0377,0.2264,0.0,0.0189,0.0,0.2075,0.1887,37.78887,-122.421708
Nevada,Private For-profit,Certificate,0.2263,0.144,0.1564,0.2263,0.0082,0.0535,0.0905,0.0,0.0947,36.08486,-115.118231
California,Private Nonprofit,Associate degree,0.1943,0.0653,0.3264,0.2261,0.0,0.0127,0.0,0.0,0.1752,34.06231,-118.306221
California,Public,Bachelor's degree,0.1685,0.0366,0.4311,0.224,0.0012,0.0029,0.0474,0.0579,0.0304,33.782818,-118.11204
New York,Public,Bachelor's degree,0.0469,0.3772,0.2704,0.224,0.0109,0.0067,0.0203,0.0435,0.0,40.701576,-73.796313
Texas,Private For-profit,Certificate,0.1343,0.3433,0.2985,0.2239,0.0,0.0,0.0,0.0,0.0,32.945805,-96.645638
Texas,Private For-profit,Associate degree,0.194,0.2985,0.2239,0.2239,0.0,0.0299,0.0299,0.0,0.0,29.675203,-95.592909
California,Public,Associate degree,0.2569,0.0282,0.3042,0.2237,0.001,0.024,0.0532,0.0976,0.0112,37.535698,-122.334801
California,Public,Bachelor's degree,0.3035,0.019,0.276,0.2231,0.0008,0.0016,0.0803,0.0783,0.0174,36.995584,-122.058801
Texas,Public,Bachelor's degree,0.2271,0.0986,0.3577,0.223,0.001,0.0012,0.0336,0.0395,0.0184,29.720393,-95.343537
Kentucky,Private For-profit,Certificate,0.1111,0.6389,0.0278,0.2222,0.0,0.0,0.0,0.0,0.0,38.134972,-85.684423
New York,Public,Associate degree,0.1201,0.2354,0.3317,0.2214,0.011,0.0073,0.0179,0.0553,0.0,40.755481,-73.756656
Texas,Public,Bachelor's degree,0.3997,0.0423,0.2354,0.2211,0.0013,0.0009,0.037,0.0536,0.0088,30.282825,-97.738273
North Carolina,Private Nonprofit,Bachelor's degree,0.4247,0.1014,0.0946,0.2204,0.0071,0.0017,0.0164,0.0964,0.0373,36.001135,-78.937624
Maryland,Public,Bachelor's degree,0.4005,0.1834,0.0777,0.2195,0.0019,0.0013,0.0473,0.0402,0.0281,39.256686,-76.711607
California,Private Nonprofit,Bachelor's degree,0.341,0.0649,0.1571,0.2191,0.0079,0.0031,0.0947,0.1043,0.0078,37.429434,-122.167359
California,Private For-profit,Certificate,0.1295,0.0643,0.4966,0.2181,0.0029,0.0204,0.0584,0.001,0.0088,33.849912,-117.975599
California,Private For-profit,Certificate,0.1781,0.0254,0.3561,0.2178,0.0095,0.0238,0.0843,0.0,0.1049,37.248411,-121.777062
Massachusetts,Private Nonprofit,Bachelor's degree,0.3834,0.0652,0.1325,0.2174,0.0013,0.0,0.0635,0.1355,0.0013,42.291554,-71.306605
California,Private For-profit,Certificate,0.413,0.0217,0.25,0.2174,0.0,0.0,0.0543,0.0,0.0435,37.293627,-121.961476
California,Public,Bachelor's degree,0.187,0.0183,0.4384,0.2169,0.001,0.0016,0.0411,0.0613,0.0345,33.881506,-117.885446
Massachusetts,Private Nonprofit,Bachelor's degree,0.3641,0.0864,0.0801,0.2169,0.0031,0.001,0.0203,0.1554,0.0727,42.336825,-71.101244
Nevada,Private Nonprofit,Associate degree,0.3093,0.1237,0.1443,0.2165,0.0,0.0412,0.0619,0.0,0.1031,36.037556,-115.04619
New York,Public,Bachelor's degree,0.2898,0.1971,0.2425,0.2159,0.0019,0.0014,0.019,0.0324,0.0,40.631517,-73.949898
Georgia,Public,Bachelor's degree,0.4804,0.0697,0.0724,0.215,0.0003,0.0003,0.0389,0.0905,0.0325,33.77242,-84.394832
New Jersey,Private Nonprofit,Bachelor's degree,0.415,0.0779,0.1049,0.2143,0.0017,0.0011,0.0477,0.1232,0.0141,40.348732,-74.659365
California,Private For-profit,Certificate,0.2143,0.0714,0.2857,0.2143,0.0,0.0,0.0,0.2143,0.0,34.208209,-118.5021
California,Public,Bachelor's degree,0.1584,0.0344,0.4559,0.2139,0.0016,0.0017,0.0378,0.0647,0.0316,34.057912,-117.821476
Illinois,Public,Bachelor's degree,0.2832,0.0791,0.3403,0.212,0.0004,0.0006,0.0304,0.0499,0.0039,41.871837,-87.650503
New York,Private Nonprofit,Bachelor's degree,0.3172,0.0343,0.1018,0.2118,0.0,0.0,0.0556,0.2,0.0793,40.728148,-73.991609
California,Public,Certificate,0.1795,0.0505,0.512,0.2114,0.0027,0.0199,0.012,0.0,0.012,36.834459,-119.690369
California,Public,Certificate,0.3091,0.0163,0.346,0.2113,0.0022,0.0027,0.0453,0.0621,0.0049,33.66927,-117.909086
Ohio,Private Nonprofit,Bachelor's degree,0.4714,0.0411,0.0782,0.2103,0.0016,0.0008,0.0485,0.1351,0.0131,41.507419,-81.609596
Illinois,Public,Associate degree,0.4592,0.0686,0.186,0.2098,0.0014,0.0055,0.0292,0.0,0.0404,42.061893,-87.880644
California,Private For-profit,Bachelor's degree,0.3294,0.0577,0.2207,0.2088,0.0119,0.0085,0.0475,0.0204,0.0951,37.414049,-121.94087
Georgia,Private Nonprofit,Bachelor's degree,0.396,0.0786,0.1016,0.2087,0.001,0.0004,0.0403,0.1603,0.013,33.790183,-84.325512
New York,Private For-profit,Certificate,0.4167,0.0833,0.2917,0.2083,0.0,0.0,0.0,0.0,0.0,40.745464,-73.983774
California,Private Nonprofit,Bachelor's degree,0.3922,0.0458,0.1526,0.2075,0.0012,0.0024,0.0582,0.1274,0.0127,34.021281,-118.284169
Pennsylvania,Private Nonprofit,Bachelor's degree,0.4183,0.0757,0.1035,0.2074,0.001,0.0006,0.0475,0.1256,0.0204,39.950929,-75.19391
