Area,Year,Savanna fires,Forest fires,Crop Residues,Rice Cultivation,Drained organic soils (CO2),Pesticides Manufacturing,Food Transport,Forestland,Net Forest conversion,Food Household Consumption,Food Retail,On-farm Electricity Use,Food Packaging,Agrifood Systems Waste Disposal,Food Processing,Fertilizers Manufacturing,IPPU,Manure applied to Soils,Manure left on Pasture,Manure Management,Fires in organic soils,Fires in humid tropical forests,On-farm energy use,Rural population,Urban population,Total Population - Male,Total Population - Female,total_emission,Average Temperature °C
Albania,2017,11.1336,2.6006,39.7309,248.06149701135485,108.8931,6,302.2426,-352.0139,0,160.6356,150.8995,0.585,31.4984,746.0619,95.1759,377.4078995531106,1331.9125,195.9435,351.4309,475.3869,0,0,323.9906,1190155,1740032,1443175,1436180,4607.576996564466,1.2275833333333332
Albania,2018,1.4671,0,38.106,248.06149701135485,107.5854,5,304.2078,-352.0139,0,165.3729,168.8613,0.965,47.4812,727.5111,78.5406,377.4078995531106,1350.5883,192.0098,343.2868,468.8562,0,0,320.3995,1164388,1769975,1441209,1435804,4593.694496564465,1.9905833333333331
Albania,2019,1.3122,0,37.3719,248.06149701135485,105.776,7,306.6317,-352.0139,0,158.1033,175.9897,0.976,28.1188,707.818,78.485,377.4078995531106,1388.118,177.7985,319.6594,434.6436,0,0,319.857,1139266,1799162,1438686,1435198,4521.1145965644655,1.846666666666667
Albania,2020,2.5732,0,37.9949,248.06149701135485,105.631,8,262.7122,-352.0139,0,164.8518,186.3487,1.0559,57.0829,687.6005,73.8525,377.4078995531106,1386.8821,162.2118,294.4972,399.1576,0,0,307.9807,1114672,1827362,1433767,1433082,4411.888496564467,1.5541666666666665
Algeria,1990,55.6487,89.0459,164.2776,4.312,0,104,1584.441,-111.1403,684.9333,4907.6276,433.8,70.05,68.2961,5786.5052,470.0933651545287,47.5683,5136.7097,89.5395,2444.0853,225.2199,0,0,71.5838,12415865,13496502,12970400,12547674,22326.59696515453,1.0055833333333333
Algeria,1991,55.6487,89.0459,316.3396,4.3904,0,134,1415.6915,-111.1403,684.9333,7742.2516,305.1,69.132,75.1288,6067.9856,503.5610066176004,54.1387,5045.5168,87.0676,2350.3049,219.083,0,0,80.5359,12514727,14039602,13282430,12851476,25188.71501,0.009166667
Algeria,1992,55.6487,89.0459,291.8564,4.4688,0,59,1731.1773,-111.1403,684.9333,7300.4215,265.5,69.9891,71.824,6337.0692,488.8555832998469,59.726,5399.0656,91.8862,2456.1071,225.2944,0,0,85.8921,12596547,14584547,13592789,13155514,25656.62088329985,-0.209083333
Algeria,1993,55.6487,89.0459,144.9511,4.3747,0,51,1479.9805,-111.1403,684.9333,8441.6929,217.8,70.5892,70.6608,6587.1649,497.8224554138789,81.9528,5266.4466,94.4114,2512.6051,229.7974,0,0,81.366,12659779,15126480,13898591,13455737,26551.10345541388,0.4998333333333333
Algeria,1994,55.6487,89.0459,96.9364,4.555,0,63,1316.1223,-111.1403,684.9333,8407.2252,178.2,75.586,73.6609,6804.8405,495.7093785906734,106.9836,4665.5834,97.0447,2449.8436,229.8505,0,0,76.4653,12700801,15661452,14191896,13745110,25860.094378590675,0.7169166666666666
Algeria,1995,55.6487,89.0459,198.3894,4.6334,0,124,1253.5507,-111.1403,684.9333,8354.6361,142.2,79.269,74.6503,7010.9505,499.74210131703165,130.1397,4636.7822,101.9226,2468.067,237.4766,0,0,75.4351,12718634,16185664,14462522,14015501,26110.332301317037,0.7949166666666666
Algeria,1996,63.2202,102.2443,380.7534,4.704,0,28,1211.2578,-111.1403,684.9333,8385.8299,194.4,77.7962,59.5028,7194.6168,482.4401293093644,155.4751,4341.753,90.6662,2396.7696,220.5334,0,0,75.8362,12713484,16697931,14736488,14248146,26039.59202930937,0.7940833333333334
Algeria,1997,52.3878,75.539,87.4989,1.568,0,21,1171.796,-111.1403,684.9333,8402.5819,234,80.8866,61.8404,7366.2898,495.21779567809824,182.2565,5352.2812,95.2238,2445.3776,228.5885,0,0,86.2717,12688632,17198207,15025934,14450097,27014.3985,1.00825
Algeria,1998,138.6818,79.8592,268.6682,2.5715,0,10,1219.3834,-111.1403,684.9333,9246.712,86.9894,85.552,69.8516,7343.6292,508.0190648330917,207.1222,5583.4593,111.9446,2629.1128,259.6056,0,0,91.9424,12645977,17689755,15272209,14652460,28516.89726483309,0.982
Algeria,1999,72.1882,83.5647,171.4754,2.5558,0,27,1268.5777,-111.1403,684.9333,9808.787,99.2687,85.6971,87.1637,7472.9943,507.23440477229866,330.4197,6198.9955,105.7687,2673.596,256.4103,0,0,100.5385,12577656,18187957,15482799,14863283,29926.028704772296,1.4823333333333333
Algeria,2000,86.06,410.6693,91.8452,2.6186,0,35,1712.3982,-111.1403,684.9333,9644.023,206.6857,86.4925,116.9712,7593.3417,132.8227,449.0023,6752.9784,109.6543,2678.4228,259.2954,0,0,109.2701,12498847,18684813,15698203,15076418,31051.3444,0.9940833333333332
Algeria,2001,43.312,5.7166,219.7063,2.6499,0,43,1388.9576,-2405.4983,0,9973.6982,298.5141,88.4215,201.9851,7711.0748,265.8686,571.5152,6795.3202,112.4498,2689.5492,259.9036,0,0,106.8744,12411940,19180213,15912853,15288132,28373.018800000005,1.7890833333333334
Algeria,2002,16.1619,30.1409,169.1395,2.4069,0,51,1510.1469,-2405.4983,0,10751.0633,386.3663,91.7275,267.2127,7809.5114,402.0306,408.1679,7299.8795,113.4703,2665.4277,263.1621,0,0,117.541,12317847,19677199,16126874,15497822,29949.05810000001,1.3711666666666666
Algeria,2003,61.517,63.273,331.1605,2.5872,0,45,1599.1734,-2405.4983,0,10859.3395,363.0187,93.578,335.5876,7879.7353,536.1627,568.6859,7168.0022,116.9154,2738.2321,271.067,0,0,126.4028,12221443,20182071,16346159,15709725,30753.94000000001,1.4333333333333331
Algeria,2004,53.195,12.3424,320.7696,2.5166,0,28,1639.1002,-2405.4983,0,12184.5221,405.8072,95.3402,387.9333,8016.4459,670.0511,603.0243,8065.1614,121.6281,2843.5966,278.5461,0,0,114.8234,12127441,20703655,16578139,15932047,33437.3052,1.0174999999999998
Algeria,2005,49.7601,44.1725,278.8021,2.3442,0,28,1743.3588,-2405.4983,0,12728.9024,380.4665,94.5039,482.4026,8103.7753,788.2882,478.105,8852.6479,121.1519,2879.8072,280.955,0,0,134.1217,12040491,21247946,16806416,16150274,35066.067,1.21875
Algeria,2006,21.4867,53.788,314.399,2.203,0,27,2511.7378,-2405.4983,0,13026.9548,449.8918,156.3505,579.0063,8203.5968,930.8244,258.9451,9212.8654,120.1641,2960.8902,287.9316,0,0,141.6323,11959903,21818012,17050923,16384158,36854.16950000001,1.4022500000000002
Algeria,2007,91.2955,188.1226,289.5742,2.0384,0,43,2789.478,-2405.4983,0,14222.5025,513.2019,207.3803,665.3222,8305.8102,1044.0677,512.6729,10748.2624,120.5905,2997.4983,290.8226,0,0,153.113,11885693,22414383,17330466,16653361,40779.2549,1.1966666666666663
Algeria,2008,34.7109,101.8566,143.9271,1.8738,0,39,2970.1151,-2405.4983,0,14590.9968,580.9551,264.0889,744.2153,8423.7211,1173.7541,66.3182,11233.6704,120.5421,2979.282,289.5712,0,0,156.1733,11818949,23041766,17628560,16941031,41509.2737,1.1405833333333333
Algeria,2009,94.7665,23.3852,399.3435,1.717,0,48,3150.2356,-2405.4983,0,12694.9645,660.2323,343.2039,824.1875,8522.1206,1346.0907,40.7287,11910.7685,123.109,3118.5266,299.8586,0,0,174.2951,11765339,23700421,17946941,17249096,41370.03549999999,1.2396666666666667
Algeria,2010,54.2036,9.6138,338.0018,1.5915,0,37,3370.6663,-2405.4983,0,12484.4263,704.6526,552.0486,830.1015,8606.9101,1041.8938,111.9777,12264.9907,128.1632,3288.2985,312.3203,0,0,174.1334,11723941,24393696,18282636,17573708,41905.4954,2.2304166666666667
Algeria,2011,22.6345,87.3074,338.82,1.5602,0,59,3658.562,-901.736,276.32,13774.4806,497.4448,603.5728,824.322,8739.1316,1550.1321,144.3605,12097.0881,131.3832,3404.009,321.26,0,0,182.4615,11695477,25124081,18632179,17911362,45812.1143,1.2025
Algeria,2012,156.2145,185.0045,403.4676,1.4112,0,59,4147.8167,-901.736,276.32,15775.9683,535.9704,671.8043,823.4977,8832.6132,1683.908,2463.0377,12010.4127,135.424,3541.1182,332.3908,0,0,162.7011,11677502,25888345,18995990,18264572,51296.34490000001,1.18025
Algeria,2013,13.8068,11.6927,388.3338,1.4112,0,41,4357.0787,-901.736,276.32,16945.582,599.8748,365.755,846.0018,8931.8863,1772.8231,2055.7458,11205.315,140.5191,3705.6336,344.5332,0,0,175.7962,11664030,26674532,19371095,18629532,51277.3731,1.1286666666666667
Algeria,2014,99.3839,24.9442,297.3121,1.4112,0,42,4696.1757,-901.736,276.32,17582.3464,640.0635,710.517,875.2822,9011.6171,1900.5852,3251.794,13340.7956,145.2425,3878.1551,357.1608,0,0,229.2279,11647651,27465662,19755734,19004433,56458.5984,1.6861666666666666
Algeria,2015,46.6979,3.5077,318.6653,1.223,0,49,4988.8106,-901.736,276.32,19510.0334,686.7834,735.9028,925.6352,9089.3703,2095.8407,3489.8761,14555.4279,147.3375,3936.7351,363.7602,0,0,207.9594,11623281,28248247,20152232,19390923,60527.1505,1.20675
Algeria,2016,23.404,41.1841,318.8821,1.3485,0,36,4837.6787,-440.7773,637.8973,19459.4962,720.1517,723.6926,950.6483,9172.8117,2133.7286,3847.0575,16668.6685,146.1611,3904.1029,362.3166,0,0,200.5586,11589537,29016515,20556314,19783015,63745.0117,1.81925
Algeria,2017,38.4581,285.4333,322.6943,1.3328,0,48,4775.6512,-440.7773,637.8973,20449.2231,755.1779,755.7877,1046.8418,9261.5636,2251.3956,2380.3793,15785.287,146.9564,3862.3064,359.3909,0,0,211.006,11547532,29770610,20961313,20175233,62934.0054,1.3540833333333333
Algeria,2018,0.6673,0,461.3507,1.3014,0,49,4842.0796,-440.7773,637.8973,24004.1551,797.8422,607.4202,1132.8043,9345.3109,2240.7769,2447.8977,17999.7514,143.1185,3831.3895,358.3126,0,0,193.5799,11498038,30510016,21362603,20564404,68653.8782,1.3216666666666663
Algeria,2019,25.7315,31.9595,442.2946,1.325,0,48,4846.6643,-440.7773,637.8973,24663.112,828.2473,626.6865,1319.1303,9424.1297,2322.9612,2503.6928,17277.3199,144.0745,3870.1023,361.592,0,0,198.7563,11442587,31236431,21756903,20948465,69132.89970000001,1.2055833333333332
Algeria,2020,41.1136,107.1825,361.0129,1.3171,0,48,4307.4471,-440.7773,637.8973,24237.5526,922.8476,626.6865,1884.2194,9494.9015,2528.6092,2744.6234,17426.2902,145.7414,3960.4686,369.2031,0,0,198.7563,11382345,31950910,22132899,21318767,69603.09300000001,1.882083333333333
Angola,1990,25197.622,15300.4301,32.3523,24.7274,346.4974,1,100.0467,0,9847.2211,63.2208,52.6817,24.28511731117528,67.63136607385836,1306.3437,209.58772835754152,356.4910168671663,204.9251,93.1743,1413.7936,228.6219,0,14989.1408,7.0463,7650444,4520997,5837431,5991207,69866.84042860974,0.6766666666666667
Angola,1991,25197.622,15300.4301,39.7935,31.36,346.4974,1,98.6277,0,9847.2211,56.7367,56.2461,24.28511731117528,67.63136607385836,1364.3574,209.58772835754152,356.4910168671663,208.0455,93.7178,1432.8972,230.984,0,14989.1408,7.0463,7710281,4843165,6029631,6199060,69959.71882860974,0.3283333333333333
Angola,1992,25197.622,15300.4301,43.6659,34.3,346.4974,0,102.1643,0,9847.2211,50.641,48.1584,24.28511731117528,67.63136607385836,1422.4346,209.58772835754152,356.4910168671663,227.1661,94.625,1458.5258,233.7026,0,14989.1408,7.0463,7776001,5192344,6224203,6408303,70061.33662860974,0.3934999999999999
Angola,1993,25197.622,15300.4301,43.9124,39.2,346.4974,3,123.2375,0,9847.2211,48.5941,41.9589,23.948333561597675,67.63136607385836,1474.9174,209.58772835754152,356.4910168671663,209.5524,93.0858,1413.9723,228.831,0,14989.1408,7.0463,7839762,5563972,6416502,6621767,70065.87794486016,0.3413333333333333
Angola,1994,25197.622,15300.4301,49.1647,188.16,346.4974,0,134.8715,0,9847.2211,119.8165,38.653,24.28511731117528,67.63136607385836,1526.6197,209.58772835754152,356.4910168671663,208.9405,91.5023,1369.1187,223.8926,0,14989.1408,7.0463,7889542,5951759,6616409,6845622,70296.69242860973,0.2213333333333333
Angola,1995,25197.622,15300.4301,40.0652,101.92,344.9741,7,126.865,0,9847.2211,115.3554,47.9613,24.28511731117528,67.63136607385836,1575.3712,209.58772835754152,356.4910168671663,196.3333,92.044,1368.4826,225.3746,0,14989.1408,7.0463,7966516,6302478,6834872,7077381,70241.20222860975,0.6772499999999999
Angola,1996,21984.4601,17574.3048,43.968,62.72,344.0793,1,125.6008,0,9847.2211,117.5408,83.2971,24.28511731117528,67.63136607385836,1627.2749,209.58772835754152,356.4910168671663,227.5018,95.4829,1507.0974,237.6252,0,17058.9492,7.0463,8024426,6657858,7068150,7315200,71603.16492860975,0.40875
Angola,1997,21270.424,15678.2418,42.16,47.04,343.8977,1,121.9031,0,9847.2211,141.9772,78.7193,27.636841710447985,67.63136607385836,1678.3817,209.58772835754152,356.4910168671663,243.6912,98.2154,1619.2395,247.8244,0,15491.3712,3.5099,8068783,7020198,7309709,7561436,67616.16445300901,0.1579166666666666
Angola,1998,23616.9798,21140.4805,52.0419,39.2,343.1966,1,97.9892,0,9847.2211,136.3497,20.534,24.28511731117528,67.63136607385836,1721.0655,209.58772835754152,356.4910168671663,265.9191,99.913,1770.8824,258.2787,0,20783.1897,3.5099,8107209,7397109,7553740,7813123,80855.74632860973,0.9928333333333332
Angola,1999,21442.8702,19699.9819,48.0434,40.768,342.3391,1,135.1901,0,9847.2211,152.7046,35.2511,64.60012924656736,67.63136607385836,1764.7609,209.58772835754152,356.4910168671663,211.4362,98.3726,1781.0082,257.6232,0,19369.8378,7.0463,8150772,7798994,7799340,8071413,75933.76494054514,0.4640833333333333
Angola,2000,22054.1589,14201.1636,50.2997,33.6571,345.4496,1,127.1036,0,9847.2211,168.0708,52.7605,126.6773392,67.63136607385836,1812.8701,232.6111150114557,356.4910168671663,213.439,100.6551,1857.7906,263.2994,0,14039.7799,3.5099,8206100,8234824.000000001,8054751,8339311,65955.63973713657,0.1073333333333333
Angola,2001,22629.0575,10399.9055,61.3657,30.529,343.539,1,142.7372,0,35168.665,207.0221,71.0814,127.1064601844696,67.63136607385836,1853.3657,232.6111150114557,356.4910168671663,358.5832,103.4574,1873.5993,269.8563,0,10267.0461,3.5099,8275248,8708018,8322504.000000001,8619083,84568.16025813692,0.3793333333333333
Angola,2002,24825.0733,11878.2099,70.2597,29.0472,342.9971,1,174.3418,0,35168.665,234.0946,90.5321,127.1064601844696,67.63136607385836,1903.0567,232.6111150114557,356.4910168671663,383.212,112.7597,1863.2582,284.3493,0,11565.0141,7.0463,8353851.000000001,9218798,8603948,8912191,89716.75695813693,0.7259166666666667
Angola,2003,29226.7282,13056.6814,72.2813,61.6773,343.9351,1,254.0811,0,35168.665,268.4982,110.0005,127.1064601844696,67.63136607385836,1948.6273,232.6111150114557,356.4910168671663,431.1253,117.0031,1852.7923,290.1605,0,12787.0759,14.0633,8438128,9765241,8904704,9219638,96788.23575813694,0.8903333333333333
Angola,2004,29319.9661,14720.0992,89.7456,87.9805,343.0877,1,228.6381,0,35168.665,221.1306,131.5302,127.1064601844696,67.63136607385836,2010.5403,232.6111150114557,356.4910168671663,460.2639,125.6534,1824.2952,301.8966,0,14385.4086,7.0463,8522221,10343495,9226105,9545020,100210.78725813692,0.4003333333333334
Angola,2005,28379.7735,15629.4694,101.1133,97.1925,339.2544,1,211.9725,0,35168.665,255.5148,157.9826,127.1064601844696,2.7102,2057.1789,131.56912352369383,356.4910168671663,696.983,130.1091,1989.5849,316.9645,0,15169.8503,7.0463,8603118,10949424,9564193,9886765,101327.53180057534,0.96625
Angola,2006,25545.5076,14380.0096,85.5185,60.713,336.4981,1,358.6373,0,35168.665,277.634,175.3453,127.1064601844696,5.4204,2077.3104,131.56912352369383,356.4910168671663,719.8873,142.1277,2038.5785,340.0993,0,14020.8001,14.0633,8760700,11501699,9917959,10244381,96362.98200057534,0.6245833333333334
Angola,2007,27530.1319,14494.7364,100.4229,70.6541,336.4981,1,379.9192,0,35168.665,335.3737,194.3764,127.1064601844696,8.1306,2098.8894,131.56912352369383,356.4910168671663,732.7493,155.6252,2089.9701,365.7011,0,14104.0618,14.0633,8918911,12078776,10289510,10620174,98796.13510057534,0.8661666666666666
Angola,2008,25535.3219,14903.7113,84.1363,129.7598,335.1331,1,471.9708,0,35168.665,426.323,291.8542,127.85505793561173,10.8408,2158.3609,131.56912352369383,356.4910168671663,884.9735,170.4642,2142.3265,394.0074,0,14609.939,21.1096,9077515,12681905,10678522,11013001,98355.81249832649,0.5603333333333333
Angola,2009,25323.3376,16588.2428,132.4308,185.8629,333.3506,1,564.0159,0,35168.665,566.8047,343.306,671.4073533012634,13.551,2212.1898,216.93745147594183,356.4910168671663,899.5723,185.1139,2187.2577,425.0903,0,16106.121,24.6167,9237545,13312002,11084704,11422969,102505.36482164435,0.65975
Angola,2010,26651.2633,17403.4509,138.5767,187.4152,333.4484,1,640.3254,0,35168.665,538.5872,378.3476,661.7563378465643,16.2611,2267.4821,199.5950721629156,356.4910168671663,792.7982,205.5649,2253.9466,460.1939,0,17189.8313,28.1266,9398277,13970854,11510656,11853530,105873.12682687664,1.19825
Angola,2011,27496.752,15178.6174,159.7463,204.1379,332.2895,1,721.8934,0,35168.7283,538.8358,408.1404,692.3800372329134,18.9713,2326.0162,210.0569302324909,356.4910168671663,984.8862,222.5933,2303.4885,494.7786,0,14932.6814,31.663,9559614,14658951,11955662,12303450,102784.1474843326,0.8220000000000001
Angola,2012,25620.926,16164.9135,81.6681,218.7517,332.2895,1,736.5103,0,35168.7283,792.4961,428.476,1265.4819201170674,21.6815,2379.1078,229.12259098617116,356.4910168671663,1382.4743,243.2459,2363.8809,533.0557,0,15881.7301,31.663,9720169,15375981,12417550,12770743,104233.69422797038,0.6305000000000001
Angola,2013,26174.3841,14510.0552,168.3772,231.3584,333.1566,1,841.5571,0,35168.7283,955.9306,535.3835,1432.2509942801878,24.3914,2436.9568,226.75201514397327,475.8223682980544,1800.0624,266.1702,2427.5304,575.1581,0,14152.8954,42.2164,9878943,16119397,12894065,13252938,102780.1374777222,1.0335
Angola,2014,24715.7104,15184.4608,176.9086,235.7331,333.1261,1,700.3781,0,35168.7283,1058.5444,535.5957,1992.8204855191696,27.1016,2481.426,225.4882162718055,475.8223682980544,2227.9155,291.5643,2494.0475,621.5006,0,14884.8796,42.2164,10033109,16887357,13381965,13746371,103874.96807008902,0.85325
Angola,2015,25779.2423,16368.6316,184.5187,235.8194,332.2788,1,764.8577,0,35168.7283,1167.6269,473.4088,2459.012446733478,11.5433,2501.7294,245.3873007240262,795.2823896795345,2285.7686,318.4187,2565.7703,666.6684,0,15934.3915,35.1729,10183560,17675745,13878923,14248799,108295.2577,1.35
Angola,2016,25887.5857,15318.0287,209.7244,125.9731,330.5841,1,545.46,0,35168.7283,916.908,424.8271,1201.7395126208403,31.1167,2535.0962,189.35393403157465,356.4910168671663,1763.7188,296.5135,2592.882,630.8943,0,15039.776,31.663,10329860,18483603,14390171,14764575,103598.0643635196,1.5861666666666665
